"Name","Commit","Runtime","Notes","State","Sweep","Updated","Tags","batch_size","dropout","early_stopping","epochs","hidden_size","learning_rate","overlap","weight_decay","window_size","baseline_r2","best_val_loss","epoch","mae","mse","r2","rmse","train_loss","val_loss"
"spring-sweep-5","7bf0db2825295dd53969094840e6b785c3d1f48d","212","-","finished","8jyuii2m","2025-03-25T17:31:45.000Z","","128","0.573742603896151","20","200","256","0.0005","0.8929818385139585","0.0000046371125828777025","50","0","0.010056644085456024","20","0.07200662791728973","0.010577742010354996","0.8915600283690394","0.1028481498360634","0.01086163911037147","0.010056644085456024"
"classic-sweep-4","7bf0db2825295dd53969094840e6b785c3d1f48d","54","-","finished","8jyuii2m","2025-03-25T17:28:05.000Z","","128","0.6252081985844017","20","150","128","0.001","0.8252930429025108","0.0000294029194146246","50","0","0.02296676739518131","20","0.09448074549436568","0.017784584313631058","0.8132496362187567","0.13335885107517242","0.01609166045091115","0.02296676739518131"
"fresh-sweep-3","7bf0db2825295dd53969094840e6b785c3d1f48d","52","-","finished","8jyuii2m","2025-03-25T17:27:06.000Z","","64","0.6167567709730175","20","150","128","0.0005","0.8196455400849159","0.00000943735788883774","50","0","0.016593730853249628","20","0.10135453194379808","0.01733667403459549","0.8240585529917118","0.1316688060760498","0.015270373808951784","0.016593730853249628"
"autumn-sweep-2","7bf0db2825295dd53969094840e6b785c3d1f48d","150","-","finished","8jyuii2m","2025-03-25T17:26:09.000Z","","64","0.6011560079750494","20","150","256","0.001","0.872741828602218","0.000017289029227004765","40","0","0.012192014562474056","20","0.08216436207294464","0.012911705300211906","0.8711888285028255","0.11362968385219574","0.01099769567314646","0.015742809130725535"
"lively-sweep-1","7bf0db2825295dd53969094840e6b785c3d1f48d","41","-","finished","8jyuii2m","2025-03-25T17:23:33.000Z","","64","0.66798585179636","10","200","128","0.0005","0.8290589740627007","0.000052837802692716375","30","0","0.028694239021702247","10","0.12055259197950365","0.02536395564675331","0.7422538439107718","0.15926066040992737","0.022392783682830264","0.029730613089420575"
"olive-sweep-17","491e81dc3b4d5bc14fd07fddce826c7975d83550","1038","-","finished","qm9sa9hi","2025-03-25T14:52:09.000Z","","64","0.6717001578299588","20","150","256","0.0005","0.851878333414611","0.000008248670205080237","50","","","150","0.04719102010130882","0.00875854678452015","0.9134328913357136","0.09358710795640944","0.0005371482845172674","0.008275547021185048"
"daily-sweep-16","491e81dc3b4d5bc14fd07fddce826c7975d83550","446","-","finished","qm9sa9hi","2025-03-25T14:34:44.000Z","","64","0.6310117322992799","20","200","128","0.005","0.8726774990907046","0.000010662338941212523","30","","","98","0.021917816251516346","0.003165493020787835","0.9669740831816525","0.05626271292567253","0.000472270158276106","0.003440681196581055"
"soft-sweep-15","491e81dc3b4d5bc14fd07fddce826c7975d83550","1733","-","finished","qm9sa9hi","2025-03-25T14:27:10.000Z","","64","0.5596710052171372","20","200","256","0.005","0.8869254032093506","0.0000214982691874925","50","","","178","0.03551071137189865","0.005614366382360458","0.9424431251755636","0.07492907345294952","0.0006350512370408978","0.006641103266950019"
"upbeat-sweep-14","491e81dc3b4d5bc14fd07fddce826c7975d83550","791","-","finished","qm9sa9hi","2025-03-25T13:58:10.000Z","","128","0.6593633319475012","20","200","256","0.001","0.869181762945908","0.000004435974961306121","40","","","108","0.03161244094371796","0.00429220637306571","0.957179617605743","0.0655149295926094","0.00039318671384963263","0.004517004761675542"
"fallen-sweep-13","491e81dc3b4d5bc14fd07fddce826c7975d83550","1599","-","finished","qm9sa9hi","2025-03-25T13:44:52.000Z","","64","0.562542210809927","20","200","256","0.005","0.8647215852696571","0.000015735980296207095","50","","","199","0.05947590991854668","0.013008554466068745","0.8649649530741826","0.11405505239963531","0.0010598025633260565","0.019461477356445454"
"autumn-sweep-12","491e81dc3b4d5bc14fd07fddce826c7975d83550","748","-","finished","qm9sa9hi","2025-03-25T13:18:05.000Z","","128","0.5807198917881261","20","200","256","0.005","0.8947023670606984","0.000004567104921309657","50","","","87","0.04416833817958832","0.007596098817884922","0.922126975870304","0.08715560287237167","0.0019896626542322336","0.006954918255690824"
"confused-sweep-11","491e81dc3b4d5bc14fd07fddce826c7975d83550","1422","-","finished","qm9sa9hi","2025-03-25T13:05:33.000Z","","64","0.553069539317952","20","200","256","0.001","0.880985630061868","0.000011436997147485408","50","","","157","0.02863484807312489","0.004687709268182516","0.9519429500439668","0.06846684962511063","0.0003181660007976461","0.003759774374140596"
"royal-sweep-10","491e81dc3b4d5bc14fd07fddce826c7975d83550","1231","-","finished","qm9sa9hi","2025-03-25T12:41:47.000Z","","64","0.6277784401830678","20","200","256","0.0005","0.8924981218722954","0.00005805831380435924","50","","","124","0.05393632128834725","0.007171258796006441","0.9264823118318134","0.08468328416347504","0.002190158860757947","0.006286028497429056"
"dainty-sweep-9","491e81dc3b4d5bc14fd07fddce826c7975d83550","442","-","finished","qm9sa9hi","2025-03-25T12:21:10.000Z","","64","0.568585600936199","20","200","128","0.005","0.8994822084628038","0.00007888489402803226","50","","","132","0.04322298616170883","0.005088155623525381","0.9478376881590576","0.07133130729198456","0.0017844905814854428","0.005824743389067325"
"ancient-sweep-8","491e81dc3b4d5bc14fd07fddce826c7975d83550","508","-","finished","qm9sa9hi","2025-03-25T12:13:41.000Z","","64","0.5607648148501634","20","200","128","0.005","0.8970988977159117","0.000006692449687931562","40","","","143","0.01789700612425804","0.0024636585731059313","0.9756061032186572","0.049635253846645355","0.0002814302212451973","0.002884588480271675"
"earnest-sweep-7","491e81dc3b4d5bc14fd07fddce826c7975d83550","742","-","finished","qm9sa9hi","2025-03-25T12:05:10.000Z","","64","0.6994774731527632","20","200","256","0.0005","0.8603959766172572","0.0000035370372407574577","40","","","114","0.03149014338850975","0.005070443265140057","0.9494156879254187","0.07120704650878906","0.0003373543283784541","0.005755734439431267"
"legendary-sweep-6","491e81dc3b4d5bc14fd07fddce826c7975d83550","399","-","finished","qm9sa9hi","2025-03-25T11:52:40.000Z","","64","0.5546571339762448","20","200","128","0.001","0.8947677025956178","0.000008854425538521077","40","","","113","0.025640103965997696","0.003912216518074274","0.9612632216432464","0.0625477135181427","0.000323050302078685","0.0034311145578545554"
"hopeful-sweep-5","491e81dc3b4d5bc14fd07fddce826c7975d83550","502","-","finished","qm9sa9hi","2025-03-25T11:45:53.000Z","","64","0.551491162705397","20","200","128","0.005","0.8484075295846191","0.000016615633814814434","30","","","172","0.03229193761944771","0.006131894886493683","0.9386356836295976","0.0783064141869545","0.0005767783161626006","0.004817362404773357"
"dutiful-sweep-4","491e81dc3b4d5bc14fd07fddce826c7975d83550","865","-","finished","qm9sa9hi","2025-03-25T11:37:27.000Z","","128","0.6604995755824286","20","200","256","0.0005","0.860469601466683","0.0000027171725006531016","40","","","118","0.035532765090465546","0.005872868932783604","0.9414104398240548","0.07663464546203613","0.0005191869930450932","0.005772436566820199"
"ruby-sweep-3","491e81dc3b4d5bc14fd07fddce826c7975d83550","1026","-","finished","qm9sa9hi","2025-03-25T11:22:54.000Z","","64","0.6837826168299068","20","150","256","0.0005","0.8828102927439535","0.0000016400205286881898","30","","","99","0.019893361255526543","0.0033877240493893623","0.96465552363345","0.05820415914058685","0.00023588872538008823","0.003307628701602678"
"clear-sweep-2","491e81dc3b4d5bc14fd07fddce826c7975d83550","1215","-","finished","qm9sa9hi","2025-03-25T11:05:43.000Z","","64","0.6270590166337605","20","200","256","0.0005","0.8823504467643262","0.000011107225222008653","50","","","145","0.02842484787106514","0.003529174951836467","0.9638199095101112","0.05940685793757439","0.00033497055803309193","0.003236608722628179"
"earnest-sweep-1","491e81dc3b4d5bc14fd07fddce826c7975d83550","170","-","finished","qm9sa9hi","2025-03-25T10:45:22.000Z","","128","0.6183448049080752","10","200","128","0.0005","0.8715954290806381","0.0000013920637722659337","30","","","42","0.05740736052393913","0.008453931659460068","0.9117992615807607","0.09194526076316832","0.007651326842495196","0.010105569407136904"
"unique-sweep-26","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","836","-","finished","xra2y6k6","2025-04-17T15:14:08.000Z","Sweep 1","64","0.6284838451816622","10","200","256","0.001","0.8505968533668564","0.00005001826762814615","30","","","101","0.04315980151295662","0.0047706617042422295","0.9522580875025162","0.06906997412443161","0.0013937413856934106","0.0048926828894764185"
"likely-sweep-25","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","467","-","finished","xra2y6k6","2025-04-17T15:14:01.000Z","Sweep 1","64","0.6469179740252082","10","200","128","0.001","0.878551596202382","0.00001355413364987216","40","","","101","0.020530523732304573","0.0021888213232159615","0.978327404377803","0.046784840524196625","0.0004905886103404642","0.0018688626544274111"
"lilac-sweep-24","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","1186","-","finished","xra2y6k6","2025-04-17T15:14:10.000Z","Sweep 1","128","0.464061367319386","20","200","256","0.001","0.8216608145352995","0.00005299690745992205","50","","","140","0.059011880308389664","0.007944765500724316","0.9165744927086258","0.08913341164588928","0.0023504962846345734","0.009279759600758553"
"fresh-sweep-23","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","261","-","finished","xra2y6k6","2025-03-24T14:34:55.000Z","","128","0.6437403740211353","10","100","256","0.0001","0.8743966835602921","0.000029996760169440045","50","","","100","0.0836731567978859","0.013513071462512016","0.859727824079971","0.11624573916196825","0.009219877100327897","0.015062146716647675"
"wild-sweep-22","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","154","-","finished","xra2y6k6","2025-03-24T14:30:28.000Z","","128","0.496952794405105","10","200","256","0.005","0.8247273880057147","0.00023627656122335365","20","","","84","0.08147314935922623","0.012974591925740242","0.8683925583549187","0.11390606313943864","0.006814379973665756","0.015725081296343552"
"divine-sweep-21","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","1074","-","finished","xra2y6k6","2025-04-17T15:14:09.000Z","Sweep 1","128","0.4141414509828546","10","200","256","0.01","0.8455967323834834","0.0001614144824812848","30","","","163","0.058061085641384125","0.007088739890605211","0.92906015539163","0.08419465273618698","0.00349942644104539","0.006818459502288273"
"dauntless-sweep-20","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","271","-","finished","xra2y6k6","2025-04-17T15:14:12.000Z","Sweep 1","128","0.6099113976637516","10","200","256","0.0005","0.8432092676798748","0.00011233384504834018","50","","","174","0.05439082905650139","0.008143085986375809","0.9195159551824414","0.0902390480041504","0.0017126295456869737","0.007367153826635331"
"bright-sweep-19","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","1360","-","finished","xra2y6k6","2025-04-17T15:14:04.000Z","Sweep 1","64","0.5704918611691541","10","200","256","0.001","0.862484815387975","0.00002566655334633475","50","","","148","0.03302321583032608","0.0033115146216005087","0.965624891248238","0.05754576250910759","0.000712456561381086","0.003960711616350131"
"lilac-sweep-18","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","378","-","finished","xra2y6k6","2025-04-17T15:14:15.000Z","Sweep 1","128","0.5891309275920362","10","150","256","0.001","0.7910673879080692","0.000008933490109878572","40","","","90","0.058961234986782074","0.011118490248918532","0.8898103748321609","0.10544425249099731","0.0013378776202443987","0.011578081042638846"
"light-sweep-17","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","657","-","finished","xra2y6k6","2025-03-24T13:36:04.000Z","","128","0.6384707387337223","10","100","256","0.00001","0.7771502922157567","0.00005849424711706294","40","","","100","0.21535451710224152","0.07025671750307083","0.3037219206845766","0.26505982875823975","0.06366659898776561","0.07262533264500755"
"radiant-sweep-16","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","76","-","finished","xra2y6k6","2025-03-24T13:25:01.000Z","","32","0.6984010816261004","20","150","256","0.01","0.6715174416382638","0.00001410686001908512","50","","","54","0.174208864569664","0.05950544402003288","0.4069646609139832","0.24393737316131592","0.0014668075803903834","0.06582026296694364"
"charmed-sweep-15","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","726","-","finished","xra2y6k6","2025-04-17T15:14:05.000Z","Sweep 1","128","0.6151111822950679","10","150","256","0.005","0.8614081298547549","0.000003918756084869633","30","","","105","0.020953744649887085","0.003730974160134792","0.9626626545408044","0.06108170002698898","0.00034602953821867853","0.003348431599858616"
"frosty-sweep-14","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","1148","-","finished","xra2y6k6","2025-04-17T15:14:07.000Z","Sweep 1","64","0.6522524024783101","20","150","256","0.0005","0.8868539068414301","0.00006260920042554053","50","","","128","0.03631237894296646","0.004170910455286503","0.9572410262623712","0.06458258628845215","0.001152311590849422","0.003787014596375891"
"distinctive-sweep-13","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","511","-","finished","xra2y6k6","2025-03-24T12:52:13.000Z","","64","0.5543419954655844","10","150","256","0.00005","0.8255029647532064","0.00013059431001103617","50","","","150","0.10953546315431596","0.023705853149294853","0.7510722503141908","0.15396705269813538","0.014852779850895916","0.024034675476806502"
"dutiful-sweep-12","1daced19e063b51170d9d5a4d9a95a0e4b52fe3a","897","-","finished","xra2y6k6","2025-03-24T12:43:34.000Z","","128","0.5913353005798432","20","150","256","0.0001","0.8478331390125655","0.00009344977691663344","50","","","150","0.08517226576805115","0.015240454114973543","0.8493674814556842","0.12345223128795624","0.008681043465104368","0.014380571665242314"
